champion,n_wins,p_win
Germany,445,0.445
Ecuador,153,0.153
France,104,0.104
Ivory Coast,31,0.031
England,30,0.03
Spain,30,0.03
Turkey,24,0.024
Denmark,17,0.017
Norway,16,0.016
Croatia,15,0.015
Italy,14,0.014
South Korea,13,0.013
United States,13,0.013
Netherlands,9,0.009
Panama,9,0.009
South Africa,8,0.008
Argentina,7,0.007
Australia,6,0.006
Ghana,5,0.005
Tunisia,5,0.005
Canada,4,0.004
Algeria,3,0.003
Brazil,3,0.003
Egypt,3,0.003
Mexico,3,0.003
Morocco,3,0.003
New Zealand,3,0.003
Paraguay,3,0.003
Portugal,3,0.003
Scotland,3,0.003
Switzerland,3,0.003
Austria,2,0.002
Belgium,2,0.002
Senegal,2,0.002
Ukraine,2,0.002
Cape Verde,1,0.001
Haiti,1,0.001
Japan,1,0.001
Uzbekistan,1,0.001
