team,pts,gd,gf,ga,rank_in_group
Spain,6.924,6.12,8.294,2.174,1.28
France,6.41,4.303,6.753,2.45,1.509
Germany,6.327,4.743,7.448,2.705,1.473
England,6.042,3.351,6.193,2.842,1.531
Brazil,5.623,2.462,5.507,3.045,1.741
Argentina,5.583,2.353,5.162,2.809,1.727
Netherlands,5.521,2.195,5.332,3.137,1.804
Switzerland,5.516,2.096,4.848,2.752,1.88
Portugal,5.515,2.303,5.289,2.986,1.798
Belgium,5.219,1.548,4.756,3.208,1.959
Ecuador,5.202,2.01,5.284,3.274,1.991
Scotland,5.119,1.529,4.73,3.201,1.971
Denmark,5.11,1.572,5.002,3.43,1.99
Turkey,5.104,1.518,4.793,3.275,2.014
Italy,5.099,2.113,5.616,3.503,2.011
Norway,5.028,1.354,4.601,3.247,2.058
Tunisia,4.94,1.143,4.54,3.397,2.088
Colombia,4.94,1.009,4.447,3.438,2.078
New Zealand,4.808,1.123,4.487,3.364,2.106
Uruguay,4.649,1.072,4.542,3.47,2.165
United States,4.469,0.287,3.905,3.618,2.368
Mexico,4.418,0.301,4.34,4.039,2.382
Panama,4.414,0.406,4.271,3.865,2.34
Canada,4.293,0.255,4.195,3.94,2.455
South Korea,4.204,0.164,4.159,3.995,2.516
Jordan,3.977,-0.627,3.553,4.18,2.594
Austria,3.762,-0.554,3.98,4.534,2.769
Australia,3.686,-0.612,3.502,4.114,2.718
Ivory Coast,3.618,-1.305,3.633,4.938,2.872
Croatia,3.515,-1.075,3.864,4.939,2.867
Paraguay,3.413,-1.193,3.145,4.338,2.9
Uzbekistan,3.399,-1.303,3.535,4.838,2.971
Algeria,3.39,-1.172,3.374,4.546,2.91
Iran,3.342,-1.232,2.851,4.083,2.987
Morocco,3.322,-1.608,3.39,4.998,3.004
Egypt,3.312,-1.439,3.159,4.598,2.948
Ukraine,3.26,-1.487,3.294,4.781,3.061
Senegal,3.256,-1.838,3.501,5.339,2.965
Cape Verde,3.221,-2.478,3.653,6.131,2.997
Japan,3.169,-1.851,3.139,4.99,3.047
DR Congo,3.026,-2.009,3.121,5.13,3.153
South Africa,2.993,-2.037,3.126,5.163,3.112
Ghana,2.973,-2.682,3.151,5.833,3.262
Haiti,2.83,-2.383,2.875,5.258,3.284
Saudi Arabia,2.244,-4.714,2.118,6.832,3.558
Iraq,2.232,-3.819,2.248,6.067,3.468
Qatar,1.864,-4.464,1.988,6.452,3.654
Curaçao,1.828,-5.448,1.934,7.382,3.664
