group,team,mp,w,d,l,gf,ga,gd,pts,rank_in_group
A,Mexico,3,2,1,0,6,2,4,7,1
A,South Korea,3,1,1,1,2,2,0,4,2
A,Denmark,3,1,0,2,4,4,0,3,3
A,South Africa,3,1,0,2,1,5,-4,3,4
B,Canada,3,3,0,0,9,2,7,9,1
B,Switzerland,3,1,1,1,3,3,0,4,2
B,Italy,3,1,1,1,3,5,-2,4,3
B,Qatar,3,0,0,3,1,6,-5,0,4
C,United States,3,1,1,1,3,2,1,4,1
C,Australia,3,1,1,1,2,2,0,4,2
C,Paraguay,3,1,1,1,1,2,-1,4,3
C,Turkey,3,0,3,0,0,0,0,3,4
D,Brazil,3,2,1,0,5,1,4,7,1
D,Haiti,3,1,1,1,5,5,0,4,2
D,Morocco,3,1,1,1,5,5,0,4,3
D,Scotland,3,0,1,2,3,7,-4,1,4
E,Germany,3,2,1,0,8,2,6,7,1
E,Ecuador,3,1,2,0,6,1,5,5,2
E,Curaçao,3,1,0,2,2,8,-6,3,3
E,Ivory Coast,3,0,1,2,2,7,-5,1,4
F,Tunisia,3,3,0,0,8,2,6,9,1
F,Netherlands,3,2,0,1,4,5,-1,6,2
F,Ukraine,3,1,0,2,2,4,-2,3,3
F,Japan,3,0,0,3,1,4,-3,0,4
G,Spain,3,2,0,1,7,4,3,6,1
G,Uruguay,3,1,1,1,5,5,0,4,2
G,Cape Verde,3,1,1,1,6,7,-1,4,3
G,Saudi Arabia,3,1,0,2,4,6,-2,3,4
H,New Zealand,3,2,1,0,4,2,2,7,1
H,Belgium,3,2,0,1,5,1,4,6,2
H,Egypt,3,1,0,2,2,5,-3,3,3
H,Iran,3,0,1,2,1,4,-3,1,4
I,France,3,3,0,0,6,1,5,9,1
I,Norway,3,1,1,1,3,2,1,4,2
I,Senegal,3,1,0,2,6,5,1,3,3
I,Iraq,3,0,1,2,1,8,-7,1,4
J,Austria,3,2,1,0,7,3,4,7,1
J,Algeria,3,2,0,1,6,4,2,6,2
J,Argentina,3,0,2,1,2,4,-2,2,3
J,Jordan,3,0,1,2,3,7,-4,1,4
K,England,3,3,0,0,6,0,6,9,1
K,Ghana,3,1,1,1,5,4,1,4,2
K,Croatia,3,1,1,1,3,5,-2,4,3
K,Panama,3,0,0,3,4,9,-5,0,4
L,Colombia,3,2,0,1,6,4,2,6,1
L,Portugal,3,2,0,1,3,5,-2,6,2
L,Uzbekistan,3,1,0,2,4,3,1,3,3
L,DR Congo,3,1,0,2,4,5,-1,3,4
