match_no,stage,date,home_team,away_team,pred_home_goals,pred_away_goals,home_score_sim,away_score_sim,winner,win_method,model_used
73,R32,2026-06-28,South Korea,Switzerland,2.080716447460744,0.7499870899685714,2,2,South Korea,ET/PEN,PLAYER
74,R32,2026-06-29,Germany,Morocco,2.73803325145387,0.5533676498822062,0,0,Germany,ET/PEN,PLAYER
75,R32,2026-06-29,Tunisia,Australia,1.8916886437532745,0.6911147721810527,2,1,Tunisia,REG,PLAYER
76,R32,2026-06-29,United States,Netherlands,1.8572370578814636,0.7973982025949804,3,1,United States,REG,PLAYER
77,R32,2026-06-30,France,Cape Verde,2.9831394211264635,0.5222181684741531,1,0,France,REG,PLAYER
78,R32,2026-06-30,Ecuador,Norway,2.216472240083983,0.6660619576979648,4,0,Ecuador,REG,PLAYER
79,R32,2026-06-30,Mexico,Paraguay,1.9055027973484429,0.5989882380076466,1,2,Paraguay,REG,PLAYER
80,R32,2026-07-01,Colombia,Croatia,1.764621269619912,0.7703670113374782,3,0,Colombia,REG,PLAYER
81,R32,2026-07-01,Brazil,Italy,1.8924348677663152,0.8555747013126247,2,2,Brazil,ET/PEN,PLAYER
82,R32,2026-07-01,Spain,Denmark,3.060171702836047,0.529532519531374,2,0,Spain,REG,PLAYER
83,R32,2026-07-02,Ghana,Portugal,1.8521319696811613,0.8284470181328368,1,0,Ghana,REG,PLAYER
84,R32,2026-07-02,New Zealand,Algeria,1.943783232356566,0.7990780831192907,0,0,New Zealand,ET/PEN,PLAYER
85,R32,2026-07-02,Canada,Senegal,1.798012111267532,0.7174403011418138,2,1,Canada,REG,PLAYER
86,R32,2026-07-03,Austria,Belgium,2.203727648412056,0.704983886794135,3,1,Austria,REG,PLAYER
87,R32,2026-07-03,England,Uzbekistan,2.562405423407207,0.6446609658705295,1,2,Uzbekistan,REG,PLAYER
88,R32,2026-07-03,Haiti,Uruguay,1.828460622650502,0.7290403644589682,3,0,Haiti,REG,PLAYER
89,R16,2026-07-04,Germany,France,1.9606647866796056,0.9406656769744703,2,0,Germany,REG,PLAYER
90,R16,2026-07-04,South Korea,Tunisia,2.122223454021792,0.6346118858696908,5,0,South Korea,REG,PLAYER
91,R16,2026-07-05,United States,Ecuador,1.894969593206476,0.7711104966295621,1,0,United States,REG,PLAYER
92,R16,2026-07-05,Paraguay,Colombia,1.8614734212662485,0.5686813170745415,1,0,Paraguay,REG,PLAYER
93,R16,2026-07-06,Ghana,New Zealand,2.0483819264831515,0.7027982511335107,2,0,Ghana,REG,PLAYER
94,R16,2026-07-06,Brazil,Spain,1.487778927963434,1.1631567153198739,1,2,Spain,REG,PLAYER
95,R16,2026-07-07,Austria,Haiti,2.36454656201127,0.519119471918941,4,0,Austria,REG,PLAYER
96,R16,2026-07-07,Canada,Uzbekistan,1.8360164070417622,0.759959036645346,4,1,Canada,REG,PLAYER
97,QF,2026-07-09,Germany,South Korea,2.7191736775314754,0.6237091139469296,0,0,Germany,ET/PEN,PLAYER
98,QF,2026-07-10,Ghana,Spain,1.271393612600346,1.33248026302777,4,0,Ghana,REG,PLAYER
99,QF,2026-07-11,United States,Paraguay,1.893557522796088,0.6007427315446177,3,1,United States,REG,PLAYER
100,QF,2026-07-11,Austria,Canada,2.344483315985301,0.5681671743418941,5,0,Austria,REG,PLAYER
101,SF,2026-07-14,Germany,Ghana,2.9082293385759206,0.548810537461762,5,0,Germany,REG,PLAYER
102,SF,2026-07-15,United States,Austria,1.8324715441544774,0.799927902170082,1,0,United States,REG,PLAYER
103,3P,2026-07-18,Ghana,Austria,1.8167491810074359,0.813531129201291,3,0,Ghana,REG,PLAYER
104,FINAL,2026-07-19,Germany,United States,2.8080214113880504,0.5583939683616717,4,2,Germany,REG,PLAYER
